club,days,recurrence,start_time_local,duration_min,pace_groups_min_per_km,location_name,lat,lon,source_url,meeting_point_note
The 6:ZH Club,tuesday;thursday,weekly,6:15,40,6;6:30,Bürkliplatz ,47.3661527,8.541204093,https://the6zhclub.com/,In front of Ganymede
The Run Club Zurich,Saturday,weekly,10,40,5:30;6:00;6:30,Zürich Opera House,47.3652255,8.546711757,https://therunclubzurich.com/,In front of Operahaus
